Date,Close,shares,invested_amount,rate,Close_vs,shares_vs,invested_amount_vs,rate_vs
2020-05-27,57.86000061035156,22766.03757597967,65000,1926.5276123714925,260.2355651855469,329.8192834148798,65000,32.04724250548202
2020-05-28,55.79999923706055,22766.03757597967,65000,1854.3767374931651,259.72265625,329.8192834148798,65000,31.786985186129456
2020-05-29,58.18999862670898,22766.03757597967,65000,1938.0856850490186,260.888427734375,329.8192834148798,65000,32.37851428705572
2020-06-01,59.68000030517578,22782.710244721857,66000,1960.1093247844422,262.026123046875,333.61670965639956,66000,32.44892881048685
2020-06-02,56.95000076293945,22782.710244721857,66000,1865.871766392028,264.1803894042969,333.61670965639956,66000,33.53786707395133
2020-06-03,53.31999969482422,22782.710244721857,66000,1740.5668231755121,267.6682434082031,333.61670965639956,66000,35.30090703841363
2020-06-04,51.63999938964844,22782.710244721857,66000,1682.5744592908695,266.98748779296875,333.61670965639956,66000,34.956798783209656
2020-06-05,54.59000015258789,22782.710244721857,66000,1784.4062965692906,273.8138732910156,333.61670965639956,66000,38.40739919033779
2020-06-08,52.900001525878906,22782.710244721857,66000,1726.0687980446112,277.1339111328125,333.61670965639956,66000,40.085611464148414
2020-06-09,51.58000183105469,22782.710244721857,66000,1680.5033880896087,275.16619873046875,333.61670965639956,66000,39.09097246836051
2020-06-10,49.34999847412109,22782.710244721857,66000,1603.5253269899492,273.4501953125,333.61670965639956,66000,38.22356729553948
2020-06-11,47.65999984741211,22782.710244721857,66000,1545.1878284652696,257.6896057128906,333.61670965639956,66000,30.256906622105323
2020-06-12,48.630001068115234,22782.710244721857,66000,1578.6715508111874,260.7950744628906,333.61670965639956,66000,31.826658540765578
2020-06-15,50.45000076293945,22782.710244721857,66000,1641.496589739464,263.1731872558594,333.61670965639956,66000,33.02874666982927
2020-06-16,52.7599983215332,22782.710244721857,66000,1721.235991320458,268.3210144042969,333.61670965639956,66000,35.63086963216503
2020-06-17,39.040000915527344,22782.710244721857,66000,1247.6318618365688,267.09002685546875,333.61670965639956,66000,35.00863021448619
2020-06-18,45.720001220703125,22782.710244721857,66000,1478.2205154539529,267.33251953125,333.61670965639956,66000,35.13120537904666
2020-06-19,46.720001220703125,22782.710244721857,66000,1512.7397734005012,265.75640869140625,333.61670965639956,66000,34.33451308746717
2020-06-22,45.560001373291016,22782.710244721857,66000,1472.6974394497258,267.5189514160156,333.61670965639956,66000,35.225442942638395
2020-06-23,45.4900016784668,22782.710244721857,66000,1470.281101927909,268.7313842773437,333.61670965639956,66000,35.838303339419554
2020-06-24,46.68000030517578,22782.710244721857,66000,1511.3589714793147,261.8582458496094,333.61670965639956,66000,32.36407026779277
2020-06-25,45.79999923706055,22782.710244721857,66000,1480.9819876158067,264.6280822753906,333.61670965639956,66000,33.76416680514971
2020-06-26,45.29999923706055,22782.710244721857,66000,1463.7223586425328,258.42633056640625,333.61670965639956,66000,30.629306200214383
2020-06-29,47.45000076293945,22782.710244721857,66000,1537.938815899819,262.1976623535156,333.61670965639956,66000,32.53563847572652
2020-06-30,47.56999969482422,22782.710244721857,66000,1542.0810899828596,265.6942443847656,333.61670965639956,66000,34.303090282255795
2020-07-01,49.060001373291016,22802.992039417517,67000,1569.7236130880112,267.5128479003906,337.3362501698047,67000,34.6892253477061
2020-07-02,48.86000061035156,22802.992039417517,67000,1562.9167238265397,268.8627624511719,337.3362501698047,67000,35.3688896948855
2020-07-06,50.15999984741211,22802.992039417517,67000,1607.1613092801822,273.03424072265625,337.3362501698047,67000,37.46917452737411
2020-07-07,50.63999938964844,22802.992039417517,67000,1623.497765609345,270.20318603515625,337.3362501698047,67000,36.04377546422948
2020-07-08,54.93000030517578,22802.992039417517,67000,1769.5050144539182,272.2094116210937,337.3362501698047,67000,37.05388384655017
2020-07-09,55.790000915527344,22802.992039417517,67000,1798.774547396815,270.8219299316406,337.3362501698047,67000,36.35530493565559
2020-07-10,55.43000030517578,22802.992039417517,67000,1786.5221726922894,273.5404663085937,337.3362501698047,67000,37.72405249886686
2020-07-13,52.31999969482422,22802.992039417517,67000,1680.6754276767215,271.0656433105469,337.3362501698047,67000,36.478011439172676
2020-07-14,55.880001068115234,22802.992039417517,67000,1801.8376410729463,274.6934814453125,337.3362501698047,67000,38.30458056246349
2020-07-15,57.95000076293945,22802.992039417517,67000,1872.2886657933543,277.1308288574219,337.3362501698047,67000,39.531753154048666
2020-07-16,57.7400016784668,22802.992039417517,67000,1865.1414904925857,276.3246765136719,337.3362501698047,67000,39.12586597687518
2020-07-17,59.310001373291016,22802.992039417517,67000,1918.575356974622,277.0557861328125,337.3362501698047,67000,39.493970122224404
2020-07-20,63.540000915527344,22802.992039417517,67000,2062.54050009157,279.36187744140625,337.3362501698047,67000,40.6550569798217
2020-07-21,61.09999847412109,22802.992039417517,67000,1979.4966847967248,279.9430847167969,337.3362501698047,67000,40.94768725273465
