Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2020-04-21,185.27011108398438,187.56600550438054,187.7089297984282,183.50129855943365,185.27011108398438,1498500,93952.0094719696,0,20.063152389533343,93931.94631958008,507.0,44.54155303379939,65000,,54.114655366323184,191.168,182.6039,197.0238,201.1515,196.9774,227.2205047607422,1.0187,APD,19.569060082890456,333.0,233.28347778320312
2020-04-22,191.5681915283203,190.8624439694713,192.41686339579013,188.29855771674218,191.5681915283203,1318100,97145.13625724793,0,20.063152389533343,97125.0731048584,507.0,49.454055780381424,65000,,63.78481369217682,191.2787,183.5545,196.763,201.1448,197.0311,227.2205047607422,0.8852,APD,22.19791241067741,333.0,238.4148712158203
2020-04-23,188.7362823486328,194.94500369960102,196.3475429136577,187.30693034595467,188.7362823486328,1113900,95709.35830314636,0,20.063152389533343,95689.29515075684,507.0,47.24516662022518,65000,,59.3991712627846,190.9911,184.5086,196.411,201.1225,197.059,227.2205047607422,0.6591,APD,22.174116869060832,333.0,238.3684234619141
2020-04-24,193.65859985351562,190.54977475947382,194.14994048234837,189.59389266053455,193.65859985351562,811900,98204.97327812195,0,20.063152389533343,98184.91012573242,507.0,51.08457427403377,65000,,67.38079096400878,190.1478,185.2566,196.1288,201.1668,197.121,227.2205047607422,0.6478,APD,23.94574340902478,333.0,241.82655334472656
2020-04-27,198.55413818359375,193.3638246471652,198.7238753020073,192.52408119689642,198.55413818359375,1194300,100687.01121147156,0,20.063152389533343,100666.94805908203,507.0,54.9030941714947,65000,,66.69804667956012,191.5575,186.6119,195.867,201.2496,197.199,227.2205047607422,0.7673,APD,25.73637355006293,333.0,245.32177734375
2020-04-28,199.76904296875,201.37706056486007,202.9672075123159,197.53568898285016,199.76904296875,1093400,101302.96793754578,0,20.063152389533343,101282.90478515625,507.0,55.85071990391659,65000,,63.79904939923158,194.4573,187.4351,195.6654,201.3363,197.2848,227.2205047607422,0.8356,APD,25.155383982379643,333.0,244.18771362304688
2020-04-29,206.06710815429688,201.87733380995698,207.14805750338073,201.03759051305587,206.06710815429688,1323800,104496.08698661804,0,20.063152389533343,104476.02383422852,507.0,60.76321074864315,65000,,60.41929211631036,197.357,188.8225,195.5051,201.4596,197.3807,227.2205047607422,1.0335,APD,28.379570430696944,333.0,250.48117065429688
2020-04-30,201.52003479003906,201.81483920503646,204.128591079676,200.24254899171697,201.52003479003906,1284000,102190.72079093933,0,20.063152389533343,102170.6576385498,507.0,57.21649352452205,65000,,54.283005082577276,199.9138,190.4439,195.2087,201.5282,197.456,227.2205047607422,0.9412,APD,27.26038262082615,333.0,248.29656982421875
2020-05-01,198.54518127441406,196.8835652638279,199.1258478931081,195.52568214205675,198.54518127441406,827200,101677.50642898561,0,22.373616485602838,101655.1328125,512.0,54.05682792270547,66000,Buy all cash Monthly invest,54.13482993644425,200.8911,191.6834,194.8156,201.5078,197.5352,227.2205047607422,0.7245,APD,23.42552286864774,337.0,241.52908325195312
2020-05-04,199.5278778076172,197.91985999185758,200.56414383882867,196.1063773980965,199.5278778076172,1345100,102180.64705398561,0,22.373616485602838,102158.2734375,512.0,54.81916220300851,66000,,51.8343756371867,201.0858,193.3249,194.4272,201.4493,197.6129,227.2205047607422,0.5695,APD,23.81471818947072,337.0,242.2913055419922
